NO,gender,exp,marry,edu,farm,gov,wage ,lnwage
393,1,1.175,1,1.2,0,0,19250,4.2844
394,0,1.225,1,1.2,0,0,50000,4.699
395,1,1.35,1,1.2,0,1,45800,4.6609
396,1,0.525,1,1.2,0,0,21875,4.3399
397,1,1.4,0,1.2,0,0,36000,4.5563
398,0,1.25,1,0.9,0,0,30625,4.4861
399,1,1.075,1,0.9,0,0,13125,4.1181
400,0,1.4,1,0.6,1,0,21875,4.3399
401,1,0.475,0,1.2,0,0,12000,4.0792
402,0,0.95,1,1.4,0,1,32500,4.5119
403,0,0.825,1,1.2,0,0,25000,4.3979
404,0,1.05,1,1.2,1,0,15000,4.1761
405,1,1.075,1,1.2,0,0,21875,4.3399
406,0,1.075,1,1.2,0,1,35000,4.5441
407,0,1.1,1,1.4,0,0,26250,4.4191
408,1,1.025,1,1.2,0,0,14875,4.1725
409,0,0.925,1,1.6,0,0,26250,4.4191
410,1,0.875,1,1.6,0,1,52000,4.716
411,1,1.05,1,0.6,0,0,18000,4.2553
412,0,0.975,1,1.2,0,0,37625,4.5755
413,0,0.75,1,1.2,0,0,33000,4.5185
414,0,0.975,1,1.2,0,1,58000,4.7634
415,1,1.125,1,1.2,0,1,45000,4.6532
416,0,1.275,1,0.6,0,0,40000,4.6021
417,1,1.15,1,0.9,0,0,14000,4.1461
418,0,0.575,0,1.2,0,0,21875,4.3399
419,1,1.1,1,1.2,0,0,39375,4.5952
420,1,0.975,1,0.9,0,0,15750,4.1973
421,0,1.075,1,1.4,0,0,19444.4444,4.2888
422,0,1.575,1,0.6,0,0,16333.3333,4.2131
423,0,0.925,1,0.9,0,0,30000,4.4771
424,0,1.025,1,1.4,0,1,52500,4.7202
425,1,0.975,1,0.9,0,0,10000,4
426,0,1.35,1,0.6,0,0,30000,4.4771
427,0,0.525,0,1.6,0,0,13125,4.1181
428,1,0.5,0,1.4,0,0,11200,4.0492
429,0,0.925,1,1.2,0,1,32900,4.5172
430,1,0.775,1,1.2,0,0,13125,4.1181
431,1,1,1,0.9,0,0,14777.7778,4.1696
432,0,1.2,1,1.2,0,0,40000,4.6021
433,1,0.9,1,1.2,0,0,18000,4.2553
434,1,0.6,1,1.2,0,0,15750,4.1973
435,0,1.025,1,1.2,0,0,35000,4.5441
436,1,1.025,1,0.9,0,0,14000,4.1461
437,0,1.25,1,0.9,0,0,35000,4.5441
438,1,0.55,0,1.4,0,0,17181.8182,4.2351
439,0,0.75,1,0.9,0,0,27000,4.4314
440,0,1.325,1,0.6,0,0,33000,4.5185
441,0,1.4,1,0.6,0,0,15473.6842,4.1896
442,0,0.75,0,1.6,0,0,26250,4.4191
443,0,0.825,1,1.2,0,0,28000,4.4472
444,0,0.825,1,1.4,0,0,21000,4.3222
445,1,0.725,1,1.2,0,0,21000,4.3222
446,0,0.6,1,0.9,0,0,20000,4.301
447,1,0.55,1,0.9,0,0,12600,4.1004
448,0,0.425,0,1.2,0,0,14000,4.1461
449,0,1.475,1,0.6,0,0,30000,4.4771
450,1,1.35,1,0.6,0,0,20000,4.301
451,1,0.95,1,1.2,0,0,15750,4.1973
452,0,1.1,1,1.6,0,1,50000,4.699
453,1,0.65,1,1.2,0,0,16000,4.2041
454,0,1.125,1,1.2,0,0,21000,4.3222
455,1,1.05,1,0.9,0,0,12000,4.0792
456,0,1.275,1,0.9,0,0,30000,4.4771
457,1,1.2,1,0.9,0,0,15000,4.1761
458,0,0.625,1,1.2,0,0,17500,4.243
459,1,0.6,1,1.2,0,0,18000,4.2553
460,0,0.525,0,1.2,0,0,10500,4.0212
461,0,1.325,1,0.6,0,0,24500,4.3892
462,1,1.2,1,0.9,0,0,10208.3333,4.009
463,1,1.625,1,0.6,0,0,7000,3.8451
464,0,1.05,1,0.9,0,0,40000,4.6021
465,0,0.4,0,1.2,0,0,11000,4.0414
466,1,1.125,1,1.4,0,0,32000,4.5051
467,0,0.775,0,1.2,0,0,50000,4.699
468,0,1.375,1,0.6,0,0,20000,4.301
469,0,1,1,1.4,0,0,30000,4.4771
470,1,0.9,1,1.2,0,0,28000,4.4472
471,0,1.025,1,0.9,0,0,24000,4.3802
472,1,1.025,1,0.9,0,0,14000,4.1461
473,0,1.075,1,0.9,0,0,25000,4.3979
474,0,1.325,1,0.6,0,0,30000,4.4771
475,1,1.375,1,0.6,0,0,5250,3.7202
476,0,1.2,1,0.6,0,0,40000,4.6021
477,1,1.025,1,0.9,0,0,21875,4.3399
478,1,0.725,0,1.4,0,0,21000,4.3222
479,0,1.55,1,1.2,1,0,26250,4.4191
480,0,0.825,0,1.6,0,0,35000,4.5441
481,1,0.95,1,1.2,0,0,19000,4.2788
482,0,1.225,1,0.6,0,0,26250,4.4191
483,0,0.425,0,1.2,0,0,12250,4.0881
484,0,0.4,0,1.2,0,0,12250,4.0881
485,0,0.9,1,1.2,0,0,26727.2727,4.427
486,1,0.825,1,1.2,0,0,20000,4.301
487,0,1.35,1,0.6,0,0,14700,4.1673
488,1,1.2,1,0.6,0,0,13650,4.1351
489,0,0.675,0,1.4,0,0,14437.5,4.1595
490,1,0.85,1,1.2,0,0,17500,4.243
491,0,0.925,1,1.2,0,1,32000,4.5051
492,1,0.75,1,0.9,0,0,9545.4545,3.9798
493,0,1.575,1,0.6,0,0,10500,4.0212
494,0,0.65,0,1.2,0,0,24000,4.3802
495,0,0.975,1,1.2,0,0,23000,4.3617
496,1,1.275,1,0.6,0,0,12600,4.1004
497,1,0.65,0,1.2,0,0,18000,4.2553
498,0,0.725,0,0.9,0,0,35000,4.5441
499,0,0.65,0,1.4,0,0,19444.4444,4.2888
500,0,1.175,1,0.9,0,0,27000,4.4314
501,1,0.8,1,1.2,0,0,16800,4.2253
502,0,0.8,1,1.2,0,0,31500,4.4983
503,0,0.9,1,0.9,0,0,15750,4.1973
504,0,0.725,1,1.6,0,1,45000,4.6532
505,1,1.075,1,1.2,0,1,45000,4.6532
506,0,1.25,1,1.2,0,1,52000,4.716
507,0,1.125,1,0.9,0,0,26250,4.4191
508,0,0.75,0,1.2,0,0,21875,4.3399
509,0,0.725,0,1.6,0,0,30000,4.4771
510,0,1.175,1,1.6,0,0,31500,4.4983
511,1,0.85,1,1.2,0,0,18000,4.2553
512,0,1.075,1,1.2,0,0,45000,4.6532
513,0,1.25,1,1.6,0,1,65000,4.8129
514,1,0.875,0,0.9,1,0,15312.5,4.185
515,0,0.825,1,0.9,0,0,30000,4.4771
516,0,1.125,1,1.2,0,0,13860,4.1418
517,1,1.375,1,0.6,0,0,6125,3.7871
518,0,1,1,1.4,0,1,32000,4.5051
519,1,0.95,1,1.2,0,0,20000,4.301
520,0,1.55,1,0.9,0,1,31500,4.4983
521,0,0.775,0,0.9,0,0,28000,4.4472
522,1,0.7,0,0.9,0,0,12950,4.1123
523,0,1.225,1,0.9,0,0,23000,4.3617
524,0,1.175,0,0.9,0,0,22000,4.3424
525,1,1.1,1,1.2,0,0,19500,4.29
526,0,0.575,0,1.2,0,0,17500,4.243
527,0,0.7,1,1.4,0,0,25000,4.3979
528,1,0.7,1,1.4,0,0,23000,4.3617
529,1,1.275,1,0,1,0,15000,4.1761
530,0,1.5,1,0.6,1,0,15000,4.1761
531,0,1.025,0,0.9,0,0,17500,4.243
532,0,0.7,0,1.2,0,0,15750,4.1973
533,0,0.6,0,1.2,0,0,15750,4.1973
534,1,0.475,0,1.2,0,0,18000,4.2553
535,0,0.575,0,1.2,0,0,30000,4.4771
536,1,0.45,0,1.2,0,0,18000,4.2553
537,1,0.8,1,1.4,0,0,60000,4.7782
538,0,0.575,0,1.2,0,0,28636.3636,4.4569
539,1,0.875,0,1.6,0,1,40000,4.6021
540,1,0.75,0,1.4,0,0,46000,4.6628
541,0,1.05,0,0.9,0,0,17181.8182,4.2351
542,1,0.625,0,1.4,0,1,38181.8182,4.5819
543,0,0.65,0,1.2,0,0,17612.9032,4.2458
544,1,0.65,0,1.6,0,1,36000,4.5563
545,0,0.925,1,1.6,0,1,50555.5556,4.7038
546,1,0.55,0,1.2,0,0,18060,4.2567
547,0,0.975,1,1.4,0,0,35000,4.5441
548,0,0.925,1,2.2,0,1,52000,4.716
549,0,0.65,0,1.4,0,1,46500,4.6675
550,1,0.8,0,1.6,0,1,41500,4.618
551,0,1.1,1,1.2,0,0,36000,4.5563
552,1,0.875,0,1.6,0,1,45818.1818,4.661
553,1,0.825,0,1.4,0,0,30625,4.4861
554,1,0.8,0,1.2,0,1,50000,4.699
555,0,0.95,0,0.9,0,0,49500,4.6946
556,0,0.775,0,0.9,0,0,41500,4.618
557,1,0.625,1,1.2,0,0,20500,4.3118
558,0,1.075,1,0.9,0,0,30279.0698,4.4811
559,1,1.15,1,0.9,0,0,18500,4.2672
560,1,0.85,0,1.2,0,0,19687.5,4.2942
561,0,0.9,0,1.4,0,0,21000,4.3222
562,0,1.775,1,0.9,0,1,26000,4.415
563,1,0.975,0,1.6,0,1,34000,4.5315
564,1,1.7,1,0,0,0,14500,4.1614
565,0,0.975,1,1.8,0,1,77500,4.8893
566,1,0.975,1,1.6,0,1,46500,4.6675
567,1,1.1,1,1.4,0,0,17937.5,4.2538
568,0,0.925,1,1.6,0,1,58000,4.7634
569,1,1.25,1,1.4,0,1,47500,4.6767
570,1,1.125,0,1.2,0,0,43500,4.6385
571,1,0.625,0,1.8,0,0,36000,4.5563
572,1,1.25,1,1.2,0,1,17062.5,4.232
573,1,1.375,1,1.4,0,1,68000,4.8325
574,1,1.375,1,1.6,0,0,103500,5.0149
575,0,1.025,1,1.2,0,1,37000,4.5682
576,1,1.1,1,1.4,0,0,32000,4.5051
577,0,0.825,1,1.2,0,0,36312.5,4.5601
578,0,1.35,1,1.4,0,1,50000,4.699
579,0,1.55,1,0.6,0,0,20500,4.3118
580,1,1.425,1,0,0,0,18500,4.2672
581,1,0.95,1,0.6,1,0,13562.5,4.1323
582,1,0.475,0,1.2,0,0,16187.5,4.2092
583,0,0.725,0,1.2,0,0,16187.5,4.2092
584,1,0.7,1,1.4,0,0,17937.5,4.2538
585,0,0.625,1,1.2,0,1,36000,4.5563
586,0,0.6,0,1.2,0,0,17937.5,4.2538
587,1,0.65,1,1.6,0,0,16187.5,4.2092
588,0,1.2,0,1.2,0,0,17937.5,4.2538
589,0,1.25,1,0.9,0,0,22750,4.357
590,0,1.15,1,0.9,0,0,26000,4.415
591,0,1.15,1,1.2,0,1,39500,4.5966
592,1,0.975,1,0.9,0,0,17937.5,4.2538
593,1,0.975,1,0.9,0,0,22750,4.357
594,0,0.65,0,1.2,0,0,21875,4.3399
595,0,1.175,0,0.9,0,0,20500,4.3118
596,0,1.05,1,0.9,0,0,36000,4.5563
597,1,0.975,1,1.2,0,0,17937.5,4.2538
598,0,1.05,1,0.9,0,0,26000,4.415
599,0,0.8,1,1.6,0,1,59000,4.7709
600,1,0.875,1,1.6,0,1,59000,4.7709
601,1,0.925,1,0.6,0,0,45062.5,4.6538
602,0,0.95,1,1.4,0,1,38625,4.5869
603,0,0.65,0,1.4,0,0,22750,4.357
604,1,0.575,0,1.4,0,0,19687.5,4.2942
605,0,0.45,0,1.2,0,0,17937.5,4.2538
606,0,1.35,1,1.6,0,1,62000,4.7924
607,1,1.25,1,1.2,0,1,34000,4.5315
608,0,0.725,1,1.2,0,0,21000,4.3222
609,0,1,1,0.9,0,0,26444.4444,4.4223
610,1,1.35,1,1.2,0,1,33000,4.5185
611,1,0.625,0,1.6,0,0,21000,4.3222
612,1,0.55,0,1.4,0,1,27125,4.4334
613,0,0.875,0,1.2,0,0,22750,4.357
614,1,0.975,1,0.9,1,0,10500,4.0212
615,0,0.4,0,0.9,0,0,14437.5,4.1595
